Region,RegionName,StateName,CountyName,CityName,ForecastedDate,ForecastYoYPctChange
Zip,94597,CA,Contra Costa County,Walnut Creek,2/28/2022,4.3
Zip,94598,CA,Contra Costa County,Walnut Creek,2/28/2022,4.3
Zip,94601,CA,Alameda County,Oakland,2/28/2022,6.1
Zip,94602,CA,Alameda County,Oakland,2/28/2022,7.8
Zip,94603,CA,Alameda County,Oakland,2/28/2022,5.6
Zip,94605,CA,Alameda County,Oakland,2/28/2022,6.6
Zip,94606,CA,Alameda County,Oakland,2/28/2022,4.6
Zip,94607,CA,Alameda County,Oakland,2/28/2022,4.3
Zip,94608,CA,Alameda County,Oakland,2/28/2022,5.7
Zip,94609,CA,Alameda County,Oakland,2/28/2022,6.4
Zip,94610,CA,Alameda County,Oakland,2/28/2022,5.1
Zip,94611,CA,Alameda County,Oakland,2/28/2022,5.6
Zip,94612,CA,Alameda County,Oakland,2/28/2022,3.4
Zip,94618,CA,Alameda County,Oakland,2/28/2022,6.7
Zip,94619,CA,Alameda County,Oakland,2/28/2022,6.2
Zip,94621,CA,Alameda County,Oakland,2/28/2022,5.9
Zip,94702,CA,Alameda County,Berkeley,2/28/2022,7.8
Zip,94703,CA,Alameda County,Berkeley,2/28/2022,6.7
Zip,94704,CA,Alameda County,Berkeley,2/28/2022,6.5
Zip,94705,CA,Alameda County,Berkeley,2/28/2022,7
Zip,94706,CA,Alameda County,Albany,2/28/2022,7.1
Zip,94707,CA,Alameda County,Berkeley,2/28/2022,7.7
Zip,94708,CA,Alameda County,Berkeley,2/28/2022,6.6
Zip,94709,CA,Alameda County,Berkeley,2/28/2022,7.2
Zip,94710,CA,Alameda County,Berkeley,2/28/2022,3.1
Zip,94801,CA,Contra Costa County,Richmond,2/28/2022,4.4
Zip,94803,CA,Contra Costa County,El Sobrante,2/28/2022,9.2
Zip,94804,CA,Contra Costa County,Richmond,2/28/2022,6
Zip,94805,CA,Contra Costa County,Richmond,2/28/2022,6.7
Zip,94806,CA,Contra Costa County,San Pablo,2/28/2022,6.4
Zip,94901,CA,Marin County,San Rafael,2/28/2022,4.3
Zip,94903,CA,Marin County,San Rafael,2/28/2022,3.9
Zip,94904,CA,Marin County,Kentfield,2/28/2022,2.6
Zip,94920,CA,Marin County,Tiburon,2/28/2022,4.1
Zip,94925,CA,Marin County,Corte Madera,2/28/2022,2.6
Zip,94929,CA,Marin County,Dillon Beach,2/28/2022,4.7
Zip,94930,CA,Marin County,Fairfax,2/28/2022,3.8
Zip,94933,CA,Marin County,Lagunitas,2/28/2022,2.7
Zip,94937,CA,Marin County,Inverness,2/28/2022,1.1
Zip,94938,CA,Marin County,Lagunitas,2/28/2022,1.5
Zip,94939,CA,Marin County,Larkspur,2/28/2022,2.9
Zip,94941,CA,Marin County,Mill Valley,2/28/2022,2.9
Zip,94945,CA,Marin County,Novato,2/28/2022,3.3
Zip,94946,CA,Marin County,Nicasio,2/28/2022,4.3
Zip,94947,CA,Marin County,Novato,2/28/2022,3.1
Zip,94949,CA,Marin County,Novato,2/28/2022,3
Zip,94950,CA,Marin County,Point Reyes Station,2/28/2022,0.9
Zip,94956,CA,Marin County,Point Reyes Station,2/28/2022,2
Zip,94957,CA,Marin County,Ross,2/28/2022,3.6
Zip,94960,CA,Marin County,San Anselmo,2/28/2022,4.6
Zip,94963,CA,Marin County,San Geronimo,2/28/2022,4
